r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.920301318168640137e-01,5.660488605499267578e-01,3.435671627521514893e-01,5.323250889778137207e-01,1.090400028228759766e+01,1.000000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.137491703033447266e+00,1.645292520523071289e+00,2.999999932944774628e-02,0.000000000000000000e+00,5.186904668807983398e-01,4.517173004150390625e+01
6.920301318168640137e-01,5.840803384780883789e-01,3.413881957530975342e-01,5.437974333763122559e-01,1.140999984741210938e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.144138813018798828e+00,1.595417022705078125e+00,2.800000086426734924e-02,0.000000000000000000e+00,5.181320309638977051e-01,4.719104766845703125e+01
6.920301318168640137e-01,6.011936068534851074e-01,3.398261666297912598e-01,5.468655824661254883e-01,1.110200023651123047e+01,1.189999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.980000000000000000e+02,1.000000000000000000e+01,2.143543720245361328e+00,1.614572048187255859e+00,3.599999845027923584e-02,0.000000000000000000e+00,5.194962620735168457e-01,4.923466873168945312e+01
6.920301318168640137e-01,6.593239307403564453e-01,3.431376814842224121e-01,5.638087987899780273e-01,1.146599960327148438e+01,1.119999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.146335363388061523e+00,1.554065227508544922e+00,3.200000151991844177e-02,0.000000000000000000e+00,5.382950901985168457e-01,5.125071716308593750e+01
6.920301318168640137e-01,6.104499101638793945e-01,3.348342776298522949e-01,5.380702018737792969e-01,1.176200008392333984e+01,8.100000381469726562e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.980000000000000000e+02,1.000000000000000000e+01,2.145462274551391602e+00,1.579466104507446289e+00,2.999999932944774628e-02,0.000000000000000000e+00,5.145919322967529297e-01,5.327508926391601562e+01
6.920301318168640137e-01,5.658847093582153320e-01,3.440710604190826416e-01,5.318647027015686035e-01,1.163199996948242188e+01,1.169999980926513672e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.140127658843994141e+00,1.552224397659301758e+00,3.999999910593032837e-02,0.000000000000000000e+00,5.133411884307861328e-01,5.532538223266601562e+01
6.920301318168640137e-01,6.372490525245666504e-01,3.400784730911254883e-01,5.642539858818054199e-01,1.174400043487548828e+01,9.699999809265136719e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.980000000000000000e+02,1.000000000000000000e+01,2.128941059112548828e+00,1.653171062469482422e+00,3.400000184774398804e-02,0.000000000000000000e+00,5.326079726219177246e-01,5.735314941406250000e+01
6.920301318168640137e-01,6.349276304244995117e-01,3.406944274902343750e-01,5.383128523826599121e-01,1.143599987030029297e+01,1.000000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.108796834945678711e+00,1.568339586257934570e+00,3.200000151991844177e-02,0.000000000000000000e+00,5.158841609954833984e-01,5.937345886230468750e+01
6.920301318168640137e-01,5.618787407875061035e-01,3.344653844833374023e-01,5.366085767745971680e-01,1.155599975585937500e+01,1.130000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.950000000000000000e+02,9.000000000000000000e+00,2.104278564453125000e+00,1.587865829467773438e+00,4.199999943375587463e-02,0.000000000000000000e+00,5.155681967735290527e-01,6.138425445556640625e+01
6.920301318168640137e-01,5.920729637145996094e-01,3.459299802780151367e-01,5.526231527328491211e-01,1.165200042724609375e+01,1.300000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.980000000000000000e+02,1.000000000000000000e+01,2.092814207077026367e+00,1.507066488265991211e+00,3.200000151991844177e-02,0.000000000000000000e+00,5.322146415710449219e-01,6.338091659545898438e+01
6.920301318168640137e-01,6.018673777580261230e-01,3.344290852546691895e-01,5.549152493476867676e-01,1.174800014495849609e+01,9.300000190734863281e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.087691068649291992e+00,1.546620726585388184e+00,4.399999976158142090e-02,0.000000000000000000e+00,5.331576466560363770e-01,6.567417144775390625e+01
6.920301318168640137e-01,6.470968723297119141e-01,3.351628482341766357e-01,5.640720725059509277e-01,1.176599979400634766e+01,1.030000019073486328e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,9.000000000000000000e+00,2.093792915344238281e+00,1.559067010879516602e+00,3.999999910593032837e-02,0.000000000000000000e+00,5.351517796516418457e-01,6.770783233642578125e+01
6.920301318168640137e-01,5.420815348625183105e-01,3.306960463523864746e-01,5.281245112419128418e-01,1.157600021362304688e+01,9.600000381469726562e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.083183050155639648e+00,1.585369825363159180e+00,2.199999988079071045e-02,0.000000000000000000e+00,5.180444121360778809e-01,6.976074981689453125e+01
6.920301318168640137e-01,6.478700637817382812e-01,3.417105972766876221e-01,5.662116408348083496e-01,1.142399978637695312e+01,1.260000038146972656e+01,-1.000000000000000000e+00,4.990000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.082105636596679688e+00,1.033333301544189453e+00,3.599999845027923584e-02,0.000000000000000000e+00,5.449841618537902832e-01,7.175518035888671875e+01
6.920301318168640137e-01,6.014723181724548340e-01,3.304190337657928467e-01,5.594124794006347656e-01,1.178199958801269531e+01,9.399999618530273438e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.970000000000000000e+02,9.000000000000000000e+00,2.050180673599243164e+00,1.523552894592285156e+00,2.800000086426734924e-02,0.000000000000000000e+00,5.363429188728332520e-01,7.378231048583984375e+01
6.920301318168640137e-01,5.858396291732788086e-01,3.342290222644805908e-01,5.440247654914855957e-01,1.146199989318847656e+01,9.699999809265136719e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.062767267227172852e+00,1.593442082405090332e+00,2.400000020861625671e-02,0.000000000000000000e+00,5.335888862609863281e-01,7.581052398681640625e+01
6.920301318168640137e-01,6.724749803543090820e-01,3.379658758640289307e-01,5.763504505157470703e-01,1.130000019073486328e+01,1.100000000000000000e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.970000000000000000e+02,1.000000000000000000e+01,2.056671857833862305e+00,1.590511918067932129e+00,2.600000053644180298e-02,0.000000000000000000e+00,5.429013967514038086e-01,7.780622100830078125e+01
6.920301318168640137e-01,6.249322891235351562e-01,3.425908982753753662e-01,5.596984028816223145e-01,1.099400043487548828e+01,8.699999809265136719e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.960000000000000000e+02,9.000000000000000000e+00,2.045312643051147461e+00,1.536155819892883301e+00,1.799999922513961792e-02,0.000000000000000000e+00,5.345277190208435059e-01,7.985277557373046875e+01
6.920301318168640137e-01,6.219554543495178223e-01,3.452696204185485840e-01,5.532951354980468750e-01,1.097200012207031250e+01,1.189999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.054047107696533203e+00,1.561041831970214844e+00,1.999999955296516418e-02,0.000000000000000000e+00,5.351908802986145020e-01,8.190653991699218750e+01
6.920301318168640137e-01,6.400259137153625488e-01,3.250767886638641357e-01,5.592517852783203125e-01,1.099800014495849609e+01,1.039999961853027344e+01,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.970000000000000000e+02,1.000000000000000000e+01,2.054164886474609375e+00,1.536052346229553223e+00,4.199999943375587463e-02,0.000000000000000000e+00,5.344187021255493164e-01,8.388282012939453125e+01
6.920301318168640137e-01,6.229913830757141113e-01,3.359446227550506592e-01,5.502037405967712402e-01,1.058399963378906250e+01,9.300000190734863281e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.050273895263671875e+00,1.567256927490234375e+00,3.400000184774398804e-02,0.000000000000000000e+00,5.305681824684143066e-01,8.589776611328125000e+01
6.920301318168640137e-01,6.651033163070678711e-01,3.309674561023712158e-01,5.787271261215209961e-01,1.083600044250488281e+01,9.800000190734863281e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.050647497177124023e+00,1.516576170921325684e+00,4.399999976158142090e-02,0.000000000000000000e+00,5.471715927124023438e-01,8.797721862792968750e+01
6.920301318168640137e-01,6.454283595085144043e-01,3.451953530311584473e-01,5.731054544448852539e-01,1.061200046539306641e+01,9.500000000000000000e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.049206972122192383e+00,1.552471041679382324e+00,2.999999932944774628e-02,0.000000000000000000e+00,5.414972901344299316e-01,9.002510833740234375e+01
6.920301318168640137e-01,6.278287768363952637e-01,3.261893987655639648e-01,5.527358055114746094e-01,1.057400035858154297e+01,9.181818008422851562e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.100000000000000000e+01,4.990000000000000000e+02,1.100000000000000000e+01,2.042649030685424805e+00,1.591532230377197266e+00,2.800000086426734924e-02,0.000000000000000000e+00,5.351517796516418457e-01,9.209877014160156250e+01
